2019,3,18,2019,3,26
2019,6,3,2019,6,11
2019,9,2,2019,9,10
2019,10,7,2019,10,15
2019,11,11,2019,11,19
2020,3,23,2020,3,31
2020,6,1,2020,6,9
2020,8,31,2020,9,8
2020,10,5,2020,10,13
2020,11,9,2020,11,17
2021,3,22,2021,3,30
2021,5,31,2021,6,8
2021,8,30,2021,9,7
2021,10,4,2021,10,12
2021,11,8,2021,11,16
2022,3,21,2022,3,29
2022,5,30,2022,6,14
2022,9,19,2022,9,27
2023,3,20,2023,3,28
2023,6,12,2023,6,20
2023,9,4,2023,9,12
2023,10,9,2023,10,17
2023,11,13,2023,11,21
2024,3,18,2024,3,26
2024,6,3,2024,6,11
2024,9,2,2024,9,10
2024,10,7,2024,10,15
2024,11,11,2024,11,19
